[framework] 2011-11-04 16:39:36,507 - com.my.Server -98   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,508 - com.my.Server -99   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,508 - com.my.Server -99   [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,509 - com.my.Server -100  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,510 - com.my.Server -101  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,510 - com.my.Server -101  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,511 - com.my.Server -102  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,511 - com.my.Server -102  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,512 - com.my.Server -103  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,513 - com.my.Server -104  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,514 - com.my.Server -105  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,515 - com.my.Server -106  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,516 - com.my.Server -107  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,516 - com.my.Server -107  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,517 - com.my.Server -108  [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:36,517 - com.my.Server -108  [main] INFO  com.my.Server  - 连接失败，在准备重连
[framework] 2011-11-04 16:39:41,517 - com.my.Server -5108 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,517 - com.my.Server -5108 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,518 - com.my.Server -5109 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,520 - com.my.Server -5111 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,521 - com.my.Server -5112 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,522 - com.my.Server -5113 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,522 - com.my.Server -5113 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,523 - com.my.Server -5114 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,524 - com.my.Server -5115 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,526 - com.my.Server -5117 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,527 - com.my.Server -5118 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,527 - com.my.Server -5118 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,528 - com.my.Server -5119 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,529 - com.my.Server -5120 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,529 - com.my.Server -5120 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,530 - com.my.Server -5121 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,530 - com.my.Server -5121 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,534 - com.my.Server -5125 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,534 - com.my.Server -5125 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,535 - com.my.Server -5126 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,535 - com.my.Server -5126 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,536 - com.my.Server -5127 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,536 - com.my.Server -5127 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,537 - com.my.Server -5128 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,537 - com.my.Server -5128 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,538 - com.my.Server -5129 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,539 - com.my.Server -5130 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,540 - com.my.Server -5131 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,540 - com.my.Server -5131 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,541 - com.my.Server -5132 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,542 - com.my.Server -5133 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,543 - com.my.Server -5134 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,543 - com.my.Server -5134 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,544 - com.my.Server -5135 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,544 - com.my.Server -5135 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,545 - com.my.Server -5136 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,546 - com.my.Server -5137 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,546 - com.my.Server -5137 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,547 - com.my.Server -5138 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,548 - com.my.Server -5139 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,548 - com.my.Server -5139 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,549 - com.my.Server -5140 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,550 - com.my.Server -5141 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,551 - com.my.Server -5142 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,552 - com.my.Server -5143 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,553 - com.my.Server -5144 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,554 - com.my.Server -5145 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,554 - com.my.Server -5145 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,555 - com.my.Server -5146 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,555 - com.my.Server -5146 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,556 - com.my.Server -5147 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,557 - com.my.Server -5148 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,557 - com.my.Server -5148 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,559 - com.my.Server -5150 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,559 - com.my.Server -5150 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,560 - com.my.Server -5151 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,561 - com.my.Server -5152 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,561 - com.my.Server -5152 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,562 - com.my.Server -5153 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,562 - com.my.Server -5153 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,563 - com.my.Server -5154 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,563 - com.my.Server -5154 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,564 - com.my.Server -5155 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,565 - com.my.Server -5156 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,566 - com.my.Server -5157 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,566 - com.my.Server -5157 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,567 - com.my.Server -5158 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,567 - com.my.Server -5158 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,568 - com.my.Server -5159 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,568 - com.my.Server -5159 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,569 - com.my.Server -5160 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,570 - com.my.Server -5161 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,570 - com.my.Server -5161 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,572 - com.my.Server -5163 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,572 - com.my.Server -5163 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,573 - com.my.Server -5164 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,573 - com.my.Server -5164 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,574 - com.my.Server -5165 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,575 - com.my.Server -5166 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,576 - com.my.Server -5167 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,576 - com.my.Server -5167 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,577 - com.my.Server -5168 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,578 - com.my.Server -5169 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,579 - com.my.Server -5170 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,579 - com.my.Server -5170 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,580 - com.my.Server -5171 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,581 - com.my.Server -5172 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,582 - com.my.Server -5173 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,583 - com.my.Server -5174 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
[framework] 2011-11-04 16:39:41,584 - com.my.Server -5175 [main] INFO  com.my.Server  - 连接失败，在准备重连
[framework] 2011-11-04 16:39:46,584 - com.my.Server -10175 [main] INFO  com.my.Server  - 连接服务器->127.0.0.1:8888
